,end,val,accn,fy,fp,form,filed,frame,ticker
202,2018-03-31,245497000000,0001564590-18-009307,2018.0,Q3,10-Q,2018-04-26,CY2018Q1I,MSFT
203,2018-06-30,258848000000,0001564590-18-019062,2018.0,FY,10-K,2018-08-03,,MSFT
204,2018-06-30,258848000000,0001564590-18-024893,2019.0,Q1,10-Q,2018-10-24,,MSFT
205,2018-06-30,258848000000,0001564590-19-001392,2019.0,Q2,10-Q,2019-01-30,,MSFT
206,2018-06-30,258848000000,0001564590-19-012709,2019.0,Q3,10-Q,2019-04-24,,MSFT
207,2018-06-30,258848000000,0001564590-19-027952,2019.0,FY,10-K,2019-08-01,CY2018Q2I,MSFT
208,2018-09-30,257619000000,0001564590-18-024893,2019.0,Q1,10-Q,2018-10-24,CY2018Q3I,MSFT
209,2018-12-31,258859000000,0001564590-19-001392,2019.0,Q2,10-Q,2019-01-30,CY2018Q4I,MSFT
210,2019-03-31,263281000000,0001564590-19-012709,2019.0,Q3,10-Q,2019-04-24,CY2019Q1I,MSFT
211,2019-06-30,286556000000,0001564590-19-027952,2019.0,FY,10-K,2019-08-01,,MSFT
212,2019-06-30,286556000000,0001564590-19-037549,2020.0,Q1,10-Q,2019-10-23,,MSFT
213,2019-06-30,286556000000,0001564590-20-002450,2020.0,Q2,10-Q,2020-01-29,,MSFT
214,2019-06-30,286556000000,0001564590-20-019706,2020.0,Q3,10-Q,2020-04-29,,MSFT
215,2019-06-30,286556000000,0001564590-20-034944,2020.0,FY,10-K,2020-07-31,CY2019Q2I,MSFT
216,2019-09-30,278955000000,0001564590-19-037549,2020.0,Q1,10-Q,2019-10-23,CY2019Q3I,MSFT
217,2019-12-31,282794000000,0001564590-20-002450,2020.0,Q2,10-Q,2020-01-29,CY2019Q4I,MSFT
218,2020-03-31,285449000000,0001564590-20-019706,2020.0,Q3,10-Q,2020-04-29,CY2020Q1I,MSFT
219,2020-06-30,301311000000,0001564590-20-034944,2020.0,FY,10-K,2020-07-31,,MSFT
220,2020-06-30,301311000000,0001564590-20-047996,2021.0,Q1,10-Q,2020-10-27,,MSFT
221,2020-06-30,301311000000,0001564590-21-002316,2021.0,Q2,10-Q,2021-01-26,,MSFT
222,2020-06-30,301311000000,0001564590-21-020891,2021.0,Q3,10-Q,2021-04-27,,MSFT
223,2020-06-30,301311000000,0001564590-21-039151,2021.0,FY,10-K,2021-07-29,CY2020Q2I,MSFT
224,2020-09-30,301001000000,0001564590-20-047996,2021.0,Q1,10-Q,2020-10-27,CY2020Q3I,MSFT
225,2020-12-31,304137000000,0001564590-21-002316,2021.0,Q2,10-Q,2021-01-26,CY2020Q4I,MSFT
226,2021-03-31,308879000000,0001564590-21-020891,2021.0,Q3,10-Q,2021-04-27,CY2021Q1I,MSFT
227,2021-06-30,333779000000,0001564590-21-039151,2021.0,FY,10-K,2021-07-29,,MSFT
228,2021-06-30,333779000000,0001564590-21-051992,2022.0,Q1,10-Q,2021-10-26,,MSFT
229,2021-06-30,333779000000,0001564590-22-002324,2022.0,Q2,10-Q,2022-01-25,,MSFT
230,2021-06-30,333779000000,0001564590-22-015675,2022.0,Q3,10-Q,2022-04-26,,MSFT
231,2021-06-30,333779000000,0001564590-22-026876,2022.0,FY,10-K,2022-07-28,CY2021Q2I,MSFT
232,2021-09-30,335418000000,0001564590-21-051992,2022.0,Q1,10-Q,2021-10-26,CY2021Q3I,MSFT
233,2021-12-31,340389000000,0001564590-22-002324,2022.0,Q2,10-Q,2022-01-25,CY2021Q4I,MSFT
234,2022-03-31,344607000000,0001564590-22-015675,2022.0,Q3,10-Q,2022-04-26,CY2022Q1I,MSFT
235,2022-06-30,364840000000,0001564590-22-026876,2022.0,FY,10-K,2022-07-28,,MSFT
236,2022-06-30,364840000000,0001564590-22-035087,2023.0,Q1,10-Q,2022-10-25,,MSFT
237,2022-06-30,364840000000,0001564590-23-000733,2023.0,Q2,10-Q,2023-01-24,,MSFT
238,2022-06-30,364840000000,0000950170-23-014423,2023.0,Q3,10-Q,2023-04-25,,MSFT
239,2022-06-30,364840000000,0000950170-23-035122,2023.0,FY,10-K,2023-07-27,CY2022Q2I,MSFT
240,2022-09-30,359784000000,0001564590-22-035087,2023.0,Q1,10-Q,2022-10-25,CY2022Q3I,MSFT
241,2022-12-31,364552000000,0001564590-23-000733,2023.0,Q2,10-Q,2023-01-24,CY2022Q4I,MSFT
242,2023-03-31,380088000000,0000950170-23-014423,2023.0,Q3,10-Q,2023-04-25,CY2023Q1I,MSFT
243,2023-06-30,411976000000,0000950170-23-035122,2023.0,FY,10-K,2023-07-27,,MSFT
244,2023-06-30,411976000000,0000950170-23-054855,2024.0,Q1,10-Q,2023-10-24,,MSFT
245,2023-06-30,411976000000,0000950170-24-008814,2024.0,Q2,10-Q,2024-01-30,,MSFT
246,2023-06-30,411976000000,0000950170-24-048288,2024.0,Q3,10-Q,2024-04-25,CY2023Q2I,MSFT
247,2023-09-30,445785000000,0000950170-23-054855,2024.0,Q1,10-Q,2023-10-24,CY2023Q3I,MSFT
248,2023-12-31,470558000000,0000950170-24-008814,2024.0,Q2,10-Q,2024-01-30,CY2023Q4I,MSFT
249,2024-03-31,484275000000,0000950170-24-048288,2024.0,Q3,10-Q,2024-04-25,CY2024Q1I,MSFT
250,2009-01-25,3350727000,0001045810-09-000024,2009.0,Q2,10-Q,2009-08-20,,NVDA
251,2009-01-25,3350727000,0001045810-09-000036,2009.0,Q3,10-Q,2009-11-19,,NVDA
252,2009-01-25,3350727000,0001045810-10-000006,2010.0,FY,10-K,2010-03-18,CY2008Q4I,NVDA
253,2009-07-26,3298409000,0001045810-09-000024,2009.0,Q2,10-Q,2009-08-20,CY2009Q2I,NVDA
254,2009-10-25,3463574000,0001045810-09-000036,2009.0,Q3,10-Q,2009-11-19,CY2009Q3I,NVDA
255,2010-01-31,3585918000,0001045810-10-000006,2010.0,FY,10-K,2010-03-18,,NVDA
256,2010-01-31,3585918000,0001045810-10-000018,2010.0,Q2,10-Q,2010-05-21,,NVDA
257,2010-01-31,3585918000,0001045810-10-000029,2010.0,Q3,10-Q,2010-08-30,,NVDA
258,2010-01-31,3585918000,0001045810-10-000045,2010.0,Q3,10-Q,2010-12-07,,NVDA
259,2010-01-31,3585918000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,CY2009Q4I,NVDA
260,2010-05-02,3803030000,0001045810-10-000018,2010.0,Q2,10-Q,2010-05-21,CY2010Q1I,NVDA
261,2010-08-01,3731268000,0001045810-10-000029,2010.0,Q3,10-Q,2010-08-30,CY2010Q2I,NVDA
262,2010-10-31,3915579000,0001045810-10-000045,2010.0,Q3,10-Q,2010-12-07,CY2010Q3I,NVDA
263,2011-01-30,4495246000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,,NVDA
264,2011-01-30,4495246000,0001045810-11-000031,2011.0,Q1,10-Q,2011-05-27,,NVDA
265,2011-01-30,4495246000,0001045810-11-000046,2011.0,Q2,10-Q,2011-08-25,,NVDA
266,2011-01-30,4495246000,0001045810-11-000056,2011.0,Q3,10-Q,2011-11-22,,NVDA
267,2011-01-30,4495246000,0001045810-12-000013,2011.0,FY,10-K,2012-03-13,CY2010Q4I,NVDA
268,2011-05-01,4736744000,0001045810-11-000031,2011.0,Q1,10-Q,2011-05-27,CY2011Q1I,NVDA
269,2011-07-31,4864424000,0001045810-11-000046,2011.0,Q2,10-Q,2011-08-25,CY2011Q2I,NVDA
270,2011-10-30,5089043000,0001045810-11-000056,2011.0,Q3,10-Q,2011-11-22,CY2011Q3I,NVDA
271,2012-01-29,5552928000,0001045810-12-000013,2011.0,FY,10-K,2012-03-13,,NVDA
272,2012-01-29,5552928000,0001045810-12-000027,2012.0,Q1,10-Q,2012-05-23,,NVDA
273,2012-01-29,5552928000,0001045810-12-000036,2012.0,Q2,10-Q,2012-08-22,,NVDA
274,2012-01-29,5552928000,0001045810-12-000060,2012.0,Q3,10-Q,2012-11-19,,NVDA
275,2012-01-29,5552928000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,CY2011Q4I,NVDA
276,2012-04-29,5708167000,0001045810-12-000027,2012.0,Q1,10-Q,2012-05-23,CY2012Q1I,NVDA
277,2012-07-29,5891881000,0001045810-12-000036,2012.0,Q2,10-Q,2012-08-22,CY2012Q2I,NVDA
278,2012-10-28,6075144000,0001045810-12-000060,2012.0,Q3,10-Q,2012-11-19,CY2012Q3I,NVDA
279,2013-01-27,6412245000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,,NVDA
280,2013-01-27,6412245000,0001045810-13-000054,2013.0,Q1,10-Q,2013-05-22,,NVDA
281,2013-01-27,6412245000,0001045810-13-000075,2013.0,Q2,10-Q,2013-08-21,,NVDA
282,2013-01-27,6412245000,0001045810-13-000109,2013.0,Q3,10-Q,2013-11-19,,NVDA
283,2013-01-27,6412245000,0001045810-14-000030,2013.0,FY,10-K,2014-03-13,CY2012Q4I,NVDA
284,2013-04-28,6279527000,0001045810-13-000054,2013.0,Q1,10-Q,2013-05-22,CY2013Q1I,NVDA
285,2013-07-28,5569592000,0001045810-13-000075,2013.0,Q2,10-Q,2013-08-21,CY2013Q2I,NVDA
286,2013-10-27,5711373000,0001045810-13-000109,2013.0,Q3,10-Q,2013-11-19,CY2013Q3I,NVDA
287,2014-01-26,7250894000,0001045810-14-000030,2013.0,FY,10-K,2014-03-13,,NVDA
288,2014-01-26,7250894000,0001045810-14-000085,2014.0,Q1,10-Q,2014-05-21,,NVDA
289,2014-01-26,7250894000,0001045810-14-000158,2014.0,Q2,10-Q,2014-08-20,,NVDA
290,2014-01-26,7250894000,0001045810-14-000188,2014.0,Q3,10-Q,2014-11-19,,NVDA
291,2014-01-26,7250894000,0001045810-15-000036,2014.0,FY,10-K,2015-03-12,CY2013Q4I,NVDA
292,2014-04-27,6864663000,0001045810-14-000085,2014.0,Q1,10-Q,2014-05-21,CY2014Q1I,NVDA
293,2014-07-27,6933719000,0001045810-14-000158,2014.0,Q2,10-Q,2014-08-20,CY2014Q2I,NVDA
294,2014-10-26,6885869000,0001045810-14-000188,2014.0,Q3,10-Q,2014-11-19,CY2014Q3I,NVDA
295,2015-01-25,7201368000,0001045810-15-000036,2014.0,FY,10-K,2015-03-12,,NVDA
296,2015-01-25,7201000000,0001045810-15-000097,2015.0,Q1,10-Q,2015-05-20,,NVDA
297,2015-01-25,7201000000,0001045810-15-000143,2015.0,Q2,10-Q,2015-08-19,,NVDA
298,2015-01-25,7201000000,0001045810-15-000173,2015.0,Q3,10-Q,2015-11-18,,NVDA
299,2015-01-25,7201000000,0001045810-16-000205,2015.0,FY,10-K,2016-03-17,CY2014Q4I,NVDA
300,2015-04-26,7291000000,0001045810-15-000097,2015.0,Q1,10-Q,2015-05-20,CY2015Q1I,NVDA
301,2015-07-26,6979000000,0001045810-15-000143,2015.0,Q2,10-Q,2015-08-19,CY2015Q2I,NVDA
302,2015-10-25,7174000000,0001045810-15-000173,2015.0,Q3,10-Q,2015-11-18,CY2015Q3I,NVDA
303,2016-01-31,7370000000,0001045810-16-000205,2015.0,FY,10-K,2016-03-17,,NVDA
304,2016-01-31,7370000000,0001045810-16-000275,2016.0,Q1,10-Q,2016-05-25,,NVDA
305,2016-01-31,7370000000,0001045810-16-000300,2016.0,Q2,10-Q,2016-08-23,,NVDA
306,2016-01-31,7370000000,0001045810-16-000353,2016.0,Q3,10-Q,2016-11-22,,NVDA
307,2016-01-31,7370000000,0001045810-17-000027,2016.0,FY,10-K,2017-03-01,CY2015Q4I,NVDA
308,2016-05-01,7108000000,0001045810-16-000275,2016.0,Q1,10-Q,2016-05-25,CY2016Q1I,NVDA
309,2016-07-31,7461000000,0001045810-16-000300,2016.0,Q2,10-Q,2016-08-23,CY2016Q2I,NVDA
310,2016-10-30,9612000000,0001045810-16-000353,2016.0,Q3,10-Q,2016-11-22,CY2016Q3I,NVDA
311,2017-01-29,9841000000,0001045810-17-000027,2016.0,FY,10-K,2017-03-01,,NVDA
312,2017-01-29,9841000000,0001045810-17-000075,2017.0,Q1,10-Q,2017-05-23,,NVDA
313,2017-01-29,9841000000,0001045810-17-000123,2017.0,Q2,10-Q,2017-08-23,,NVDA
